"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2023","75.96","77.75","79.60","75.05","559.17K","-2.44%"
"11/29/2023","77.86","76.56","78.09","75.67","322.17K","1.90%"
"11/28/2023","76.41","75.07","77.02","74.64","286.62K","2.07%"
"11/27/2023","74.86","75.31","76.23","74.06","289.56K","-0.90%"
"11/24/2023","75.54","76.79","77.09","75.07","281.15K","-1.05%"
"11/23/2023","76.34","76.69","76.81","75.31","","-0.99%"
"11/22/2023","77.10","77.77","77.97","73.79","389.33K","-0.86%"
"11/21/2023","77.77","77.65","77.92","76.92","238.63K","0.22%"
"11/20/2023","77.60","75.65","78.22","75.65","27.25K","2.25%"
"11/17/2023","75.89","72.97","75.99","72.75","101.48K","4.10%"
"11/16/2023","72.90","76.60","76.63","72.16","125.17K","-4.90%"
"11/15/2023","76.66","78.17","78.77","76.31","282.30K","-2.04%"
"11/14/2023","78.26","78.53","79.77","77.79","263.00K","0.00%"
"11/13/2023","78.26","77.15","78.64","76.21","262.90K","1.41%"
"11/10/2023","77.17","75.59","77.73","75.31","267.00K","1.89%"
"11/09/2023","75.74","75.65","77.16","75.21","303.43K","0.54%"
"11/08/2023","75.33","77.12","77.53","74.91","429.65K","-2.64%"
"11/07/2023","77.37","80.93","81.05","77.09","396.29K","-4.27%"
"11/06/2023","80.82","81.13","82.24","80.66","271.13K","0.39%"
"11/03/2023","80.51","82.58","83.60","80.10","457.28K","-2.36%"
"11/02/2023","82.46","80.82","82.83","80.22","307.12K","2.51%"
"11/01/2023","80.44","81.48","83.42","80.30","321.59K","-0.72%"
"10/31/2023","81.02","82.59","83.37","80.74","346.01K","-1.57%"
"10/30/2023","82.31","85.00","85.30","81.82","356.93K","-3.78%"
"10/27/2023","85.54","83.53","85.90","83.10","333.76K","2.80%"
"10/26/2023","83.21","85.37","85.59","82.56","341.79K","-2.55%"
"10/25/2023","85.39","83.69","85.56","82.08","429.46K","1.97%"
"10/24/2023","83.74","86.15","86.30","82.94","370.59K","-2.05%"
"10/23/2023","85.49","88.00","88.29","85.35","315.52K","-3.67%"
"10/20/2023","88.75","90.28","90.78","88.33","27.31K","-0.69%"
"10/19/2023","89.37","88.24","90.68","86.60","72.06K","1.19%"
"10/18/2023","88.32","87.81","89.88","87.20","92.80K","1.92%"
"10/17/2023","86.66","87.06","87.75","85.60","197.12K","0.00%"
"10/16/2023","86.66","87.72","88.33","86.32","235.78K","-1.17%"
"10/13/2023","87.69","83.51","87.83","83.35","356.86K","5.77%"
"10/12/2023","82.91","83.20","85.20","82.31","373.49K","-0.69%"
"10/11/2023","83.49","85.96","86.51","83.11","425.40K","-2.88%"
"10/10/2023","85.97","86.43","86.74","85.12","337.65K","-0.47%"
"10/09/2023","86.38","85.25","87.24","84.67","435.04K","4.34%"
"10/06/2023","82.79","82.28","83.28","81.50","461.14K","0.58%"
"10/05/2023","82.31","84.45","84.92","82.15","466.00K","-2.27%"
"10/04/2023","84.22","89.42","89.59","84.16","460.00K","-5.61%"
"10/03/2023","89.23","88.67","90.27","87.76","350.66K","0.46%"
"10/02/2023","88.82","90.82","91.88","88.46","334.49K","-2.17%"
"09/29/2023","90.79","91.76","93.10","90.35","355.78K","-1.00%"
"09/28/2023","91.71","93.78","95.03","91.39","406.71K","-2.10%"
"09/27/2023","93.68","90.53","94.17","90.40","504.63K","3.64%"
"09/26/2023","90.39","89.88","90.74","88.19","318.02K","0.79%"
"09/25/2023","89.68","90.55","90.83","89.03","328.37K","-0.39%"
"09/22/2023","90.03","89.62","91.33","89.31","402.09K","0.45%"
"09/21/2023","89.63","89.30","90.98","88.37","351.03K","-0.72%"
"09/20/2023","90.28","91.55","91.98","89.87","35.99K","-1.01%"
"09/19/2023","91.20","92.22","93.74","91.07","94.60K","-0.31%"
"09/18/2023","91.48","91.20","92.43","90.75","119.26K","0.78%"
